,IN,NNS,VBP,VBN,NNP,TO,VB,DT,NN,CC,JJ,.,VBD,WP,``,CD,PRP,VBZ,POS,VBG,RB,""",""",WRB,PRP$,MD,WDT,JJR,:,JJS,WP$,RP,PDT,NNPS,EX,RBS,LRB,RRB,$,RBR,;,UH,FW
NNS,0.2971782700421941,0.008082805907172997,0.1329509493670886,0.024472573839662448,0.011431962025316456,0.0422204641350211,0.001239451476793249,0.00524789029535865,0.01094409282700422,0.059348628691983124,0.010073839662447258,0.13676160337552742,0.10036919831223629,0.008201476793248945,0.0019251054852320675,0.0005933544303797469,0.0024525316455696203,0.00602584388185654,0.0048391350210970465,0.016455696202531647,0.021954113924050632,0.0636867088607595,0.0017932489451476794,0.00018459915611814345,0.016679852320675106,0.008241033755274262,0.0005010548523206751,0.0018328059071729959,0.000435126582278481,0.00015822784810126583,5.2742616033755275e-05,0.0,1.3185654008438819e-05,0.000145042194092827,3.9556962025316456e-05,0.000870253164556962,0.0005010548523206751,7.911392405063291e-05,0.0015427215189873418,0.00047468354430379745,0.0,0.0
VBN,0.36711210096510766,0.02994308339519921,0.0013610492452363276,0.05756619648601831,0.04346077703538728,0.10736822568671121,0.0006186587478346944,0.09440732491957436,0.042099727790150955,0.01849789656025736,0.046337540212818606,0.045780747339767384,0.0022581044295966347,0.0007423904974016332,0.0025674338035139815,0.025024746349913387,0.009527344716654293,0.0004949269982677555,3.093293739173472e-05,0.020570403365503587,0.02477728285077951,0.012558772581044295,0.005011135857461025,0.011290522147983173,0.0005258599356594903,6.186587478346944e-05,0.0062175204157386785,0.00040212818609255133,0.0003402623113090819,0.0,0.017508042563721852,0.0003402623113090819,3.093293739173472e-05,0.00046399406087602077,3.093293739173472e-05,0.0001855976243504083,9.279881217520415e-05,0.001206384558277654,0.0031242266765652065,6.186587478346944e-05,0.0,0.0
NN,0.28566725649150243,0.06670507386527304,0.005946257355664376,0.012770393536617148,0.03293417280496001,0.03907246615365623,0.0008024361137401753,0.004979218962182627,0.11031781956846769,0.0371246725100476,0.007605997009725252,0.12846522090997628,0.058097746320453204,0.002215272348188689,0.00336748830637971,0.0018997846453506714,0.002119254351672771,0.05529950756484644,0.02048612539950345,0.009334320947011783,0.011309548303910675,0.07374182132422534,0.002523901622704141,0.0001783191363867056,0.012633224970165837,0.008682770256368051,0.00041150569935393603,0.0013854025211582513,1.3716856645131201e-05,8.91595681933528e-05,4.11505699353936e-05,6.858428322565601e-06,1.3716856645131201e-05,8.23011398707872e-05,6.858428322565601e-06,0.001323676666255161,0.0006721259756114289,0.00013716856645131203,0.0009738968218043153,0.0005623911224503792,0.0,0.0
VBD,0.13215165443510501,0.03811676274156276,0.00015236547398359533,0.15043551131313646,0.0804997587546662,0.04362731405063613,0.001650625968155616,0.21816196449884456,0.04108788948424287,0.003758348358262018,0.053861195053200944,0.007719850681835496,0.0013712892658523579,0.0009141928439015719,0.003758348358262018,0.038243733969882426,0.038167551232890624,0.00040630793062292086,0.0,0.024733995276670306,0.05495314761675005,0.005688311028720892,0.0022854821097539296,0.024886360750653903,0.00027933670230325807,2.5394245663932554e-05,0.007897610401483023,0.0007618273699179765,0.00027933670230325807,0.0,0.017090327331826607,0.00022854821097539297,0.00030473094796719066,0.0021331166357703344,0.00022854821097539297,2.5394245663932554e-05,2.5394245663932554e-05,0.001879174179131009,0.0021331166357703344,7.618273699179766e-05,0.0,0.0
CD,0.08604980765337113,0.354687183640413,0.0032800161976108523,0.004899777282850779,0.03142336505365458,0.013686981170277383,0.0,0.008301275561854626,0.12285887831544848,0.02065195383680907,0.09852196800971856,0.09378416683539179,0.012472160356347439,0.00044543429844097997,0.0006074104069649726,0.05191334278193967,0.0007693865154889654,0.002267665519335898,0.00020247013565499088,0.003158534116217858,0.003361004251872849,0.06466896132820409,0.002267665519335898,8.098805426199635e-05,0.0011743267867989472,0.0012958088681919416,0.004899777282850779,0.004292366875885807,0.0008503745697509618,4.0494027130998175e-05,0.0,0.0,0.0009313626240129581,0.0,0.0001619761085239927,0.0008098805426199635,0.004251872848754809,0.0,0.0,0.0009313626240129581,0.0,0.0
VBZ,0.06846955128205129,0.02359775641025641,0.0008012820512820513,0.2954326923076923,0.04935897435897436,0.03669871794871795,0.0008012820512820513,0.1736778846153846,0.025560897435897435,0.0006009615384615385,0.05737179487179487,0.006610576923076923,0.0008012820512820513,0.0004807692307692308,0.005328525641025641,0.023878205128205127,0.04266826923076923,0.0018028846153846155,0.0,0.0655048076923077,0.08721955128205128,0.0022435897435897434,0.0007612179487179487,0.013100961538461539,0.0008413461538461539,0.0,0.006209935897435897,0.00016025641025641026,0.0004407051282051282,0.0,0.0028044871794871795,0.0004407051282051282,0.0002403846153846154,0.0030048076923076925,0.0005208333333333333,0.0,0.0,0.00040064102564102563,0.0021634615384615386,0.0,0.0,0.0
NNP,0.07678085006010987,0.032740857973308175,0.011710011717620563,0.0008141463637332035,0.31065390409812366,0.014692678769802018,0.0007761021411288482,0.004679439380335702,0.07356991767230228,0.03571591618096876,0.011900232830642338,0.0799537382253131,0.06777958699191941,0.000380442226043553,0.0012858947240272092,0.014395933833488047,0.001384809702798533,0.06640999497816262,0.05966094988814999,0.0028152724727222925,0.008225160927061617,0.08782889230441465,0.0018717757521342809,0.00022826533562613182,0.008909956933940012,0.0014152450808820173,0.0001902211130217765,0.0014304627699237595,7.60884452087106e-06,7.60884452087106e-06,0.0,0.0,0.015164427130096024,6.847960068783955e-05,0.0,0.0024576567802413523,0.003058755497390166,0.00018261226850090545,0.0006087075616696848,0.00024348302466787393,0.0,0.0
RB,0.13638159194153665,0.00918427809599052,0.018961090262690106,0.14062808611495162,0.020738692474817303,0.03263875172822437,0.10191586016195932,0.03278688524590164,0.007801698597669366,0.007159786687734545,0.08468299427217064,0.04562512344459806,0.0990519454868655,0.0003456448745802884,0.002370136282836263,0.03333004147738495,0.0033083152281256174,0.03495951017183488,0.0,0.037823424846928695,0.053476199881493186,0.07663440647837251,0.001728224372901442,0.0008888011060635987,0.004098360655737705,0.0,0.005184673118704326,0.0005431562314833103,0.00014813351767726645,4.9377839225755484e-05,0.00014813351767726645,0.0004937783922575548,0.00019751135690302193,0.0002962670353545329,4.9377839225755484e-05,0.00019751135690302193,4.9377839225755484e-05,0.004147738494963461,0.0018269800513529529,0.00014813351767726645,0.0,0.0
""",""",0.09183611161995481,0.029706295414300542,0.009433962264150943,0.019264822617084936,0.1688343408438664,0.007388410575807535,0.0027172253770531844,0.1137265677474507,0.03651462416804054,0.12676314343286316,0.04433046345484521,0.0,0.0500396898088783,0.022562129816205655,0.010472003419429688,0.02485192648226171,0.014502045551688344,0.027843927459241618,0.0,0.09702631739634854,0.031538132747145384,0.0,0.01822678146180619,0.002442449777126458,0.004488001465469866,0.03773584905660377,0.00210661293277157,0.0,0.0013128167552054711,0.002015021066129328,0.0,3.053062221408072e-05,0.00033583684435488793,0.0008243267997801795,0.00030530622214080725,6.106124442816144e-05,6.106124442816144e-05,0.0002442449777126458,0.00042742871099713014,0.0,3.053062221408072e-05,0.0
VB,0.11395646606914213,0.06484655734996489,8.260707942670687e-05,0.07542026351658337,0.0582792945355417,0.03519061583577713,0.007930279624963859,0.24955598694808145,0.08405270331667423,0.006649869893849903,0.09375903514931229,0.0186278964107224,0.00016521415885341375,0.004378175209615464,0.00433687166990211,0.011523687580025609,0.02420387427202511,0.0003717318574201809,0.0,0.01829746809301557,0.02742555036966668,0.00553467432158936,0.0041303539713353436,0.04766428482920986,0.00016521415885341375,0.0005782495559869481,0.009582421213497996,0.00016521415885341375,0.00041303539713353436,0.0,0.02692990789310644,0.0008673743339804222,0.00016521415885341375,8.260707942670687e-05,0.0002478212382801206,8.260707942670687e-05,0.0,0.002478212382801206,0.0017760522076741977,8.260707942670687e-05,0.0,0.0
